Store Nbr	Store Name	FORMATO	WH
1690	BA AEROPUERTO CHIH	BODEGA	4640
1691	BA QRO UNIVERSIDAD	BODEGA	7494
1692	BA JOSE MA IGLESIAS	BODEGA	7493
1693	BA JALPA DE MENDEZ	BODEGA	7468
1706	MB DIAZ ORDAZ TAM	MIBODEGA	5922
1708	MB COALCOMAN	MIBODEGA	5907
1710	MB SANTA ANA	MIBODEGA	4924
1713	MB LA FRONTERA	MIBODEGA	8805
1714	MB 16 DE SEPTIEMBRE	MIBODEGA	8805
1715	MB JUAN DE LA BARRERA	MIBODEGA	5907
1716	MB TLAJOMULCO	MIBODEGA	5907
1718	MB S PAPASQUIARO	MIBODEGA	7487
1719	MB VILLA TEXTIL	MIBODEGA	5907
1721	MB ARCELIA	MIBODEGA	8805
1724	SC LOS REYES PZA ZUMPANGO	SUPERCENTER	7464
1727	SC SINALOA GUASAVE	SUPERCENTER	7487
1728	BA SARAGUATO	BODEGA	7468
1729	MB PLUTARCO ELIAS CALLES	MIBODEGA	8805
1753	BA PERIFERICO ORIENTE	BODEGA	7494
1754	BA TAPACHULA BUENOS AIRES	BODEGA	7468
1755	MB APAXCO CENTRO	MIBODEGA	8805
1758	MB PINOTEPA NACIONAL	MIBODEGA	7471
1759	MB ZIMAPAN	MIBODEGA	8805
1761	MB ALLENDE NUEVO LEON	MIBODEGA	5922
1762	MB CUNDUACAN	MIBODEGA	7468
1763	BA TORRES DEL REY	BODEGA	4640
1765	BA MONTOYA	BODEGA	7471
1766	MB MADERA	MIBODEGA	4640
1767	BA PUERTO DE PALOS	BODEGA	4640
1768	BA EL REFUGIO	BODEGA	7471
1770	SC PATIO SANTA FE	SUPERCENTER	7464
1780	MB CUITZEO	MIBODEGA	8805
1783	MB PLAYA VICENTE	MIBODEGA	7468
1785	BD MATAMOROS NORTE	BODEGA	7490
1801	SC CIUDAD JUDICIAL	SUPERCENTER	7471
1804	SC MACRO PLAZA OAXACA	SUPERCENTER	7471
1810	SC SAN ISIDRO	SUPERCENTER	7493
1812	MB LIENZO	MIBODEGA	5907
1813	MB OTUMBA	MIBODEGA	8805
1814	MB CARDEL	MIBODEGA	7471
1816	MB MIAHUATLAN	MIBODEGA	7471
1818	MB HUETAMO	MIBODEGA	8805
1819	MB TAMAZUNCHALE	MIBODEGA	8805
1820	MB PARRAS COAH	MIBODEGA	5922
1821	BA SAN LORENZO	BODEGA	7471
1823	BA JARDS DE LA PRIMAVERA	BODEGA	7490
1824	BA LOS CABOS	BODEGA	7487
1826	MB EL CARMEN TEQUEXQUITLA	MIBODEGA	7471
1828	BA ACOLMAN TEPEXPAN	BODEGA	7494
1829	BA ALMOLOYA	BODEGA	7494
1830	BA ARBOLADA LS SAUCES	BODEGA	7482
1833	SC CERRO DE LA SILLA	SUPERCENTER	7490
1834	SC PLAZA DEL LAGO	SUPERCENTER	7464
1841	BA PLAN DE AYALA	BODEGA	7471
1858	BD OCOSINGO SUR	BODEGA	7468
1863	MB XALISCO	MIBODEGA	5907
1864	MB 5 DE MAYO	MIBODEGA	7471
1867	BA FELIX GALVAN	BODEGA	7490
1870	BA TEPOTZOTLAN	BODEGA	7482
1893	MB LIBRES	MIBODEGA	7471
1894	MB CENTRAL SUR	MIBODEGA	7468
1897	BA S CRISTOBAL D L CASAS	BODEGA	7468
1899	BA SAN JUAN DE LA LABOR	BODEGA	7482
1900	BA DOS RIOS	BODEGA	7490
1901	MB OAXTEPEC	MIBODEGA	7471
1902	SC AEROPUERTO TAMPICO	SUPERCENTER	7490
1919	MB OXKUTZCAB	MIBODEGA	4188
1921	MB SAN MATEO ATARASQUILLO	MIBODEGA	8805
1922	MB PUERTO ESCONDIDO	MIBODEGA	7468
1923	BA AMALUCAN	BODEGA	7471
1927	BA PUERTA DEL SOL REAPERT	BODEGA	7490
1928	BD ESTACION NUEVA	BODEGA	7468
1930	BA EL ORO TULTITLAN	BODEGA	7482
1931	BA LERDO	BODEGA	7490
1943	BA FRAC MERIDA LS AMERICA	BODEGA	4188
1945	BAE LA ALBORADA	BAE	7457
1951	MB VILLA PARRILLA	MIBODEGA	7468
1952	MB KANASIN	MIBODEGA	4188
1953	MB SONOYTA	MIBODEGA	4924
1954	MB MORELOS HUAMANTLA	MIBODEGA	8805
1955	MB NOPOLO	MIBODEGA	7487
1960	MB GUADALUPE VICTORIA	MIBODEGA	7487
